DE_union_geneID	DE_union_transID
ENSG00000058668	ENST00000341360
ENSG00000058673	ENST00000639812
ENSG00000058804	ENST00000371429
ENSG00000059378	ENST00000263549
ENSG00000059573	ENST00000371224
ENSG00000059588	ENST00000040877
ENSG00000060688	ENST00000263694
ENSG00000060718	ENST00000358392
ENSG00000060749	ENST00000650167
ENSG00000060982	ENST00000261192
ENSG00000061273	ENST00000080059
ENSG00000061337	ENST00000381569
ENSG00000062038	ENST00000264012
ENSG00000063046	ENST00000262056
ENSG00000063244	ENST00000450554
ENSG00000063438	ENST00000684583
ENSG00000063660	ENST00000264039
ENSG00000063761	ENST00000238561
ENSG00000064102	ENST00000261191
ENSG00000064225	ENST00000394162
ENSG00000064300	ENST00000172229
ENSG00000064393	ENST00000406875
ENSG00000064419	ENST00000627585
ENSG00000064651	ENST00000262461
ENSG00000064666	ENST00000562958
ENSG00000064886	ENST00000445067
ENSG00000064961	ENST00000333651
ENSG00000064995	ENST00000650109
ENSG00000064999	ENST00000360359
ENSG00000065054	ENST00000424542
ENSG00000065150	ENST00000651721
ENSG00000065183	ENST00000349139
ENSG00000065308	ENST00000182527
ENSG00000065328	ENST00000378694
ENSG00000065357	ENST00000394147
ENSG00000065361	ENST00000267101
ENSG00000065371	ENST00000479867
ENSG00000065413	ENST00000647377
ENSG00000065526	ENST00000375759
ENSG00000065534	ENST00000360304
ENSG00000065548	ENST00000337859
ENSG00000065600	ENST00000261455
ENSG00000065618	ENST00000648076
ENSG00000065665	ENST00000298428
ENSG00000065923	ENST00000616978
ENSG00000065978	ENST00000321358
ENSG00000065989	ENST00000380702
ENSG00000066032	ENST00000466387
ENSG00000066084	ENST00000301180
ENSG00000066117	ENST00000394963
ENSG00000066135	ENST00000372396
ENSG00000066136	ENST00000372652
ENSG00000066468	ENST00000683211
ENSG00000066557	ENST00000370952
ENSG00000066735	ENST00000423312
ENSG00000066855	ENST00000262146
ENSG00000067057	ENST00000415005
ENSG00000067066	ENST00000340126
ENSG00000067082	ENST00000497571
ENSG00000067113	ENST00000264775
ENSG00000067141	ENST00000339362
ENSG00000067533	ENST00000366932
ENSG00000067606	ENST00000378567
ENSG00000067704	ENST00000366922
ENSG00000067992	ENST00000568479
ENSG00000068024	ENST00000345617
ENSG00000068078	ENST00000340107
ENSG00000068079	ENST00000438323
ENSG00000068323	ENST00000315869
ENSG00000068489	ENST00000262293
ENSG00000068654	ENST00000263857
ENSG00000068745	ENST00000431721
ENSG00000068784	ENST00000263736
ENSG00000069011	ENST00000265340
ENSG00000069248	ENST00000261396
ENSG00000069275	ENST00000367142
ENSG00000069399	ENST00000164227
ENSG00000069482	ENST00000265643
ENSG00000069956	ENST00000691380
ENSG00000069974	ENST00000396307
ENSG00000069998	ENST00000336737
ENSG00000070018	ENST00000261349
ENSG00000070061	ENST00000674948
ENSG00000070159	ENST00000412145
ENSG00000070404	ENST00000166139
ENSG00000070501	ENST00000265421
ENSG00000070614	ENST00000261797
ENSG00000070731	ENST00000225276
ENSG00000070756	ENST00000676662
ENSG00000070814	ENST00000377797
ENSG00000070950	ENST00000264926
ENSG00000071051	ENST00000233154
ENSG00000071073	ENST00000264968
ENSG00000071082	ENST00000409711
ENSG00000071205	ENST00000336498
ENSG00000071242	ENST00000510118
ENSG00000071462	ENST00000265758
ENSG00000071539	ENST00000166345
ENSG00000071575	ENST00000155926
ENSG00000071655	ENST00000434436
ENSG00000071967	ENST00000321348
ENSG00000071991	ENST00000262150
ENSG00000072041	ENST00000681688
ENSG00000072071	ENST00000340736
ENSG00000072163	ENST00000409455
ENSG00000072201	ENST00000263925
ENSG00000072274	ENST00000698280
ENSG00000072310	ENST00000261646
ENSG00000072501	ENST00000375340
ENSG00000072506	ENST00000684692
ENSG00000072657	ENST00000261180
ENSG00000072736	ENST00000349223
ENSG00000072832	ENST00000324989
ENSG00000072840	ENST00000264956
ENSG00000073060	ENST00000261693
ENSG00000073111	ENST00000265056
ENSG00000073331	ENST00000650871
ENSG00000073350	ENST00000392550
ENSG00000073536	ENST00000586869
ENSG00000073614	ENST00000399788
ENSG00000073849	ENST00000169298
ENSG00000074047	ENST00000361492
ENSG00000074181	ENST00000263388
ENSG00000074201	ENST00000525428
ENSG00000074356	ENST00000389005
ENSG00000074410	ENST00000178638
ENSG00000074416	ENST00000265052
ENSG00000074527	ENST00000343702
ENSG00000074696	ENST00000261875
ENSG00000074800	ENST00000647408
ENSG00000074964	ENST00000361221
ENSG00000075131	ENST00000261881
ENSG00000075151	ENST00000684485
ENSG00000075218	ENST00000454366
ENSG00000075240	ENST00000406902
ENSG00000075275	ENST00000262738
ENSG00000075340	ENST00000264436
ENSG00000075391	ENST00000462775
ENSG00000075399	ENST00000561976
ENSG00000075568	ENST00000186436
ENSG00000075618	ENST00000382361
ENSG00000075643	ENST00000261326
ENSG00000075702	ENST00000401500
ENSG00000075914	ENST00000265564
ENSG00000076003	ENST00000264156
ENSG00000076067	ENST00000262031
ENSG00000076108	ENST00000549884
ENSG00000076248	ENST00000699561
ENSG00000076356	ENST00000367033
ENSG00000076604	ENST00000262395
ENSG00000076706	ENST00000264036
ENSG00000076716	ENST00000370828
ENSG00000076826	ENST00000446248
ENSG00000076864	ENST00000542643
ENSG00000076944	ENST00000441779
ENSG00000077097	ENST00000264331
ENSG00000077152	ENST00000699423
ENSG00000077235	ENST00000356183
ENSG00000077238	ENST00000395762
ENSG00000077312	ENST00000243563
ENSG00000077498	ENST00000263321
ENSG00000077942	ENST00000327858
ENSG00000077943	ENST00000378076
ENSG00000078018	ENST00000673860
ENSG00000078053	ENST00000356264
ENSG00000078177	ENST00000261435
ENSG00000078269	ENST00000355585
ENSG00000078900	ENST00000378295
ENSG00000079102	ENST00000523629
ENSG00000079156	ENST00000190611
ENSG00000079385	ENST00000161559
ENSG00000079616	ENST00000400751
ENSG00000079691	ENST00000329474
ENSG00000079739	ENST00000371083
ENSG00000079785	ENST00000434671
ENSG00000079819	ENST00000368128
ENSG00000079931	ENST00000367963
ENSG00000080166	ENST00000377028
ENSG00000080345	ENST00000243326
ENSG00000080511	ENST00000651512
ENSG00000080608	ENST00000397885
ENSG00000080823	ENST00000361847
ENSG00000080824	ENST00000334701
ENSG00000081059	ENST00000395029
ENSG00000081087	ENST00000699577
ENSG00000081138	ENST00000397968
ENSG00000081181	ENST00000261783
ENSG00000081320	ENST00000263955
ENSG00000081479	ENST00000649046
ENSG00000081692	ENST00000438896
ENSG00000081923	ENST00000648908
ENSG00000081985	ENST00000674203
ENSG00000082126	ENST00000359962
ENSG00000082175	ENST00000325455
ENSG00000082212	ENST00000321341
ENSG00000082213	ENST00000325366
ENSG00000082482	ENST00000444842
ENSG00000082516	ENST00000285873
ENSG00000082781	ENST00000296181
ENSG00000082898	ENST00000676667
ENSG00000083067	ENST00000677713
ENSG00000083457	ENST00000263087
ENSG00000083520	ENST00000377767
ENSG00000083799	ENST00000427738
ENSG00000083845	ENST00000596046
ENSG00000084444	ENST00000197268
ENSG00000084463	ENST00000261167
ENSG00000084623	ENST00000678711
ENSG00000084636	ENST00000373672
ENSG00000084710	ENST00000403714
ENSG00000084731	ENST00000264712
ENSG00000084774	ENST00000264705
ENSG00000085117	ENST00000227155
ENSG00000085185	ENST00000540052
ENSG00000085415	ENST00000262124
ENSG00000085840	ENST00000371568
ENSG00000085872	ENST00000198939
ENSG00000085999	ENST00000371975
ENSG00000086062	ENST00000379731
ENSG00000086300	ENST00000698089
ENSG00000086712	ENST00000380122
ENSG00000087086	ENST00000331825
ENSG00000087087	ENST00000611405
ENSG00000087116	ENST00000251582
ENSG00000087245	ENST00000219070
ENSG00000087258	ENST00000262494
ENSG00000087266	ENST00000356331
ENSG00000087301	ENST00000281741
ENSG00000087303	ENST00000216286
ENSG00000087586	ENST00000347343
ENSG00000087842	ENST00000380421
ENSG00000088035	ENST00000263440
ENSG00000088205	ENST00000263239
ENSG00000088305	ENST00000328111
ENSG00000088325	ENST00000340513
ENSG00000088451	ENST00000261296
ENSG00000088543	ENST00000357203
ENSG00000088756	ENST00000383472
ENSG00000088808	ENST00000202556
ENSG00000088832	ENST00000381719
ENSG00000088882	ENST00000380605
ENSG00000089006	ENST00000377759
ENSG00000089009	ENST00000424576
ENSG00000089048	ENST00000202816
ENSG00000089057	ENST00000379333
ENSG00000089127	ENST00000550883
ENSG00000089195	ENST00000203001
ENSG00000089225	ENST00000310346
ENSG00000089280	ENST00000254108
ENSG00000089327	ENST00000342879
ENSG00000089472	ENST00000519389
ENSG00000089486	ENST00000399599
ENSG00000089820	ENST00000370028
ENSG00000089902	ENST00000262241
ENSG00000090060	ENST00000216277
ENSG00000090097	ENST00000461554
ENSG00000090104	ENST00000367459
ENSG00000090273	ENST00000321265
ENSG00000090376	ENST00000261233
ENSG00000090447	ENST00000204517
ENSG00000090554	ENST00000595510
ENSG00000090581	ENST00000204679
ENSG00000090621	ENST00000372858
ENSG00000090661	ENST00000558331
ENSG00000090686	ENST00000308271
ENSG00000090889	ENST00000374403
ENSG00000090932	ENST00000205143
ENSG00000091127	ENST00000469408
ENSG00000091140	ENST00000205402
ENSG00000091409	ENST00000684293
ENSG00000091428	ENST00000397081
ENSG00000091483	ENST00000683521
ENSG00000091592	ENST00000572272
ENSG00000091651	ENST00000566860
ENSG00000091732	ENST00000311873
ENSG00000091972	ENST00000315711
ENSG00000091986	ENST00000206423
ENSG00000092010	ENST00000382708
ENSG00000092094	ENST00000206542
ENSG00000092096	ENST00000397267
ENSG00000092199	ENST00000430246
ENSG00000092201	ENST00000216297
ENSG00000092208	ENST00000308317
ENSG00000092421	ENST00000343348
ENSG00000092529	ENST00000674139
