gene_name	Fold Change Protein Abundance, 24hrs: Log2(-SG/+SG)	Fold Change Protein Abundance, 48hrs: Log2(-SG/+SG)	Z-Score
MDC1	-0.138120756	0.255220648	5.429219658
CDSN	0.312699126	-0.649837219	4.1470335
GOLGB1	-0.148125829	-0.252620368	4.032130088
NOP2	-0.097424586	0.163110822	3.579824036
SRRM2	-0.16489295	-0.201556653	3.469534228
DNAH9	-0.138741413	-0.11408451	3.407928186
STXBP1	-0.144327084	-0.195086307	3.26310036
AHNAK2	0.081245338	-0.228195183	3.258633297
KRT75	0.055987061	0.024583951	3.257281591
KIF3C	0.007767727	-0.040037813	3.196697754
SLC35A2	-0.063336474	-0.241546369	3.183518211
LRRC8C	-0.052859457	0.095678577	3.169850444
PKP2	-0.102582553	-0.058396152	3.152612947
KRT1	0.133142218	-0.453740305	3.120761874
ATP7B	-0.333336574	-0.377038613	3.098165398
PPIF	0.013123235	0.096456094	3.059034538
UBC	-0.096737496	0.12364648	3.059034538
KRT16	0.036031621	-0.343921184	3.041115106
HSPA5	-0.465756998	-1.273486703	3.018360481
MAST4	0.021808721	-0.070919909	3.012542266
R3HDM2	0.04267615	-0.294892705	3.0034371
TATDN2	-0.24637947	-0.295042541	3.000237761
NOC4L	0.01947251	0.457378294	2.884085421
TAPBPL	-0.047413515	0.042594047	2.84969876
KRT18	0.02006546	0.019101472	2.844144102
MAML1	-0.33858221	-0.149371074	2.836568298
CYFIP2	0.086238213	-0.019851847	2.815071954
PLXNB2	-0.143071091	-0.11892956	2.811499701
KRT3	-0.144442533	-0.525507083	2.794628771
KRT8	0.090874092	0.049770318	2.794628771
DDX11	-0.101032528	0.056913815	2.794628771
NAGLU	0.184483161	0.475111253	2.761929646
SMG7	-0.03909371	-0.282271615	2.760633917
ABCB8	0.009497663	0.109988936	2.758203988
SH3TC2	0.110521264	0.026477925	2.757181816
ZNF629	-0.230975501	-0.171579894	2.734906733
SPTBN1	-0.107140675	-0.335535527	2.719045568
KRT2	0.609340196	-0.352673584	2.714610259
KRT5	0.074224967	-0.60921372	2.708513359
EXOC7	0.066850975	0.051694958	2.708513359
NXF1	-0.069798411	0.145036122	2.67416936
DPYSL2	-0.06002672	-0.341650543	2.671704773
FAM160B2	0.061792781	-0.117896239	2.671704773
KIF13B	-0.156849584	-0.597223836	2.666125252
ACTB	0.043633412	-0.091479238	2.659263973
NDUFAF1	-0.068764241	-0.002941275	2.659263973
MYD88	-0.025213836	-0.087540867	2.599679467
DGUOK	0.087018606	0.101081465	2.599679467
DEPDC5	-0.022794146	-0.181785852	2.5949812
COL1A1	0.341549554	0.531598779	2.58817205
GRPR	-0.003059688	0.261237405	2.578824018
ACACA	0.038851246	-0.217857826	2.567522297
SNRNP27	0.014477838	0.084933607	2.562187649
PIGU	-0.043684591	0.298836251	2.562187649
SPEN	-0.395164449	-0.222665911	2.549068759
MYO10	-0.695343911	-0.831807294	2.546576363
CTSA	-0.210000001	-0.017947386	2.529515503
CDH1	-0.359123554	-0.562484622	2.500086174
ZNF768	-0.161994196	0.015411161	2.500086174
TRPT1	-0.150411829	-0.404090921	2.497691242
DESI1	0.031205488	0.141902554	2.497691242
STARD9	0.0166562	-0.043704038	2.486120202
INPP5D	-0.075389345	-0.293105176	2.484497449
OPHN1	-0.060940879	0.055065549	2.484083014
UPF2	0.038519269	-0.158691042	2.48327287
OAT	-0.527530143	-0.143400548	2.461595975
H2AFY	-0.12192653	0.356387675	2.461595975
BCL9	0.013009499	-0.130921977	2.451130586
KRT6A	0.013474104	-0.320835169	2.436297159
MLLT6	-0.019486853	0.069475294	2.424789663
SPNS1	-0.059402637	0.069581885	2.396694775
MARK2	-0.066059338	0.016168542	2.392953252
EFR3A	-0.186275054	0.048345293	2.392953252
WRAP53	-0.214566076	0.118070831	2.392953252
YWHAH	0.150443135	-0.182465429	2.391357302
PAQR7	-0.182603661	0.190383829	2.391357302
RPL3	0.267685838	0.193795531	2.391357302
TMEM104	-0.073459118	-0.121899207	2.384153265
RRAGB	0.09071387	0.133710203	2.384153265
KRT17	0.302690912	0.234293814	2.384153265
GTPBP4	0.103148546	0.557058578	2.384153265
SERPINF2	0.819393328	0.852424736	2.384153265
PDE4DIP	-0.22239514	-0.668884516	2.369122762
GPRC5A	-0.086683223	-0.056793632	2.357099714
ALG3	-0.072434014	0.087509894	2.357099714
C2CD2L	0.114541571	0.083169231	2.33693728
MTOR	0.07948547	-0.165465633	2.333272004
ARHGEF16	-0.09124197	-0.306877422	2.317078203
KRT14	0.108735657	-0.267872033	2.317078203
ITPKC	0.067401763	-0.233411984	2.317078203
SORBS3	-0.068921988	-0.301843688	2.312351787
TPCN1	0.072863512	-0.127376198	2.307223613
HSP90AB1	0.001289906	-0.225594305	2.306539687
PARP12	-0.11748121	-0.108839152	2.306539687
ZBED4	-0.710868203	-0.326445514	2.301378719
LAMC1	-1.05515167	-1.623026657	2.297086961
WDR59	-0.143316559	-0.191574316	2.297086961
SMCR8	0.085389758	-0.07090293	2.297086961
IPO7	0.198609124	0.146446501	2.281804836
TARBP2	0.030672446	0.150749379	2.281804836
ZFPL1	-0.030013326	-0.180710382	2.280069725
FAM167A	-0.00423091	-0.112819335	2.280069725
TMED3	0.086739906	0.020389313	2.280069725
CLN6	0.11153608	0.226476437	2.280069725
POTEF	0.098673115	-0.140251271	2.257084425
ARHGAP35	-0.00955095	-0.327934481	2.253287101
PELO	-0.129550131	-0.298805632	2.248235204
PREB	-0.021931257	0.061983604	2.248235204
WLS	-0.301908139	0.160169219	2.248235204
OASL	0.1029137	0.187133404	2.248235204
DPF2	-0.295175178	-0.115374602	2.241422745
WDR34	-0.303247261	-0.033582424	2.241422745
AKAP8	0.050527572	0.07140083	2.241422745
BCL3	0.157978461	0.10104886	2.241422745
AMBRA1	-0.489917123	-0.580856268	2.24025649
SLC5A6	0.012857732	0.174890972	2.227074269
BAIAP2	-0.13494813	-0.173619538	2.221831392
PRKCI	0.026870036	-0.16342638	2.221831392
TMEM214	-0.102292716	-0.110270831	2.221831392
EXOC5	0.101628452	0.078652093	2.221831392
KIF4A	-0.428546083	-0.005109362	2.220653002
MFN2	-0.248641448	-0.005305515	2.218185304
NOP56	0.06961843	0.258640425	2.218185304
DCP1B	-0.086606497	-0.410344062	2.215536883
SDCCAG8	-0.218007666	-0.207436138	2.215536883
DGCR8	-0.508149152	0.08776072	2.215536883
HGSNAT	-0.099077804	0.426038514	2.215536883
RECQL5	-0.241473898	-0.299040653	2.175797808
CDCP1	0.120223885	0.505945163	2.175797808
CCNB2	-0.813147008	-0.839859128	2.175668722
VPS33B	0.075488755	-0.095719038	2.175668722
ACTA2	0.033478163	-0.030725752	2.175668722
HACL1	0.011009528	0.115621805	2.175668722
ATF4	-0.552702894	0.441422317	2.175668722
NSUN5	0.243626336	0.727440635	2.175668722
AKR1A1	-0.018179152	-0.279825476	2.163064066
SLC25A4	0.002444889	0.297286801	2.163064066
FAM50A	0.338158066	0.351873259	2.163064066
PPP1R12C	0.134137502	0.232619979	2.156387071
ANKS1A	-0.089960479	-0.375266866	2.143293962
TMC4	-0.027844603	-0.16837468	2.139989967
EGFR	-0.339020326	-0.044677848	2.139989967
PLIN4	0.093599455	-0.019267946	2.139989967
ERBB2	-0.168855046	0.021765274	2.139989967
TMC7	0.288395571	0.603583946	2.139989967
SLC29A2	-0.247620176	-0.291517112	2.139287554
TMEM179B	0.047468845	-0.182562384	2.139287554
GPR89B	-0.020457581	0.083020444	2.139287554
G3BP2	0.049340424	0.201827446	2.139287554
C19orf66	-0.010969901	-0.170499967	2.134443462
UAP1	0.261735134	-0.022180023	2.134443462
HDAC8	0.155006684	0.179998124	2.134443462
PRMT1	-0.009636118	0.215018565	2.134443462
ME3	0.10911733	0.321272788	2.134443462
COG7	0.055782039	-0.178558919	2.127775644
RAPH1	0.015091851	-0.32507075	2.125023089
WDR1	-0.019118649	-0.238257632	2.123841717
DGKA	0.144306161	-0.200092488	2.123841717
CTNNB1	-0.2898899	-0.517744225	2.121488466
EFTUD2	0.023140927	0.201110428	2.121488466
PTPRB	-0.232446626	0.15892258	2.11990737
SETD1A	-0.031085703	-0.079666662	2.118272435
CRTC2	-0.090553875	-0.263385979	2.106355483
KRT10	0.368383641	-0.280564109	2.093011831
PHRF1	-0.13387622	-0.078995149	2.08982789
SIPA1L3	-0.148200206	-0.210252438	2.089522494
ARAP3	0.018688361	-0.285028139	2.072765314
KDM5A	-0.35338416	0.210253459	2.071692734
ECE2	0.037205249	-0.100331081	2.070651323
PTAR1	-0.044378421	-0.176953098	2.06534076
CUL9	-0.281120094	-0.750757415	2.053480284
RAB11FIP1	0.0123229	0.034876437	2.047262167
TIMP1	-0.771270026	-0.918669488	2.039356359
BIK	-1.512783801	-0.490203867	2.039356359
UBE2A	-0.498876863	-0.159810228	2.039356359
DECR2	-0.079604034	0.0478497	2.039356359
ZNF593	-0.458890538	0.136469838	2.039356359
HLA-DPB1	0.135003416	0.442430538	2.039356359
PDK2	-0.672365614	-0.942940664	2.033645165
FAH	0.001694728	-0.202964441	2.033645165
PGM2	0.24131333	0.156254013	2.033645165
VDR	-1.066700935	-0.282333272	2.02491688
MTHFD1	-0.031108046	-0.366537716	2.022895559
EEF1D	0.154680964	-0.128258636	2.022895559
GCC1	0.056018674	0.174073782	2.022895559
ALK	0.104209389	0.133274345	2.016711452
ANKMY2	-0.410501502	-0.776142144	2.015041317
ALDOA	-0.199885915	-0.482077517	2.015041317
TICAM2	-0.070852219	-0.188253526	2.015041317
MTHFSD	-0.043794426	-0.143458616	2.015041317
HSD17B8	0.005027043	0.000221404	2.015041317
C1orf43	-0.013034335	0.021608837	2.015041317
SPRYD3	-0.457962822	0.068790616	2.015041317
SWI5	-0.205707099	0.305757693	2.015041317
GANAB	0.624440696	-0.108936771	2.008656218
THBS1	-1.163515934	-9.97E-07	2.008656218
CTDP1	0.075005802	0.045544665	2.008656218
SCRIB	0.042126678	0.167832831	2.001339743
EMC1	-0.061579135	0.040550656	1.983849109
XPC	0.027686125	0.243676193	1.983146426
NIN	-0.728277281	-0.398384059	1.979340437
PI4KA	-0.080515013	0.022515446	1.978783114
RGL2	-0.027524733	-0.361772804	1.970669962
PDPR	-0.068016253	0.029805553	1.95999602
UBTF	0.003761119	-0.304167826	1.952829085
POTEI	0.01046355	-0.196670509	1.952829085
SPINT1	-0.776949203	-0.562822548	1.950344744
PITPNC1	0.013603414	-0.107306785	1.950344744
GAPDH	0.120372259	-0.106642326	1.950344744
PPM1F	0.065839407	-0.059269429	1.950344744
HNRNPDL	0.032494356	0.168747666	1.950344744
MECR	0.063547303	0.186319564	1.950344744
PCGF2	-0.006934325	0.265653224	1.950344744
NFKBIL1	0.326953523	0.93854847	1.950344744
ITGB4	-0.039592042	0.106818893	1.941281475
LTA4H	0.241228843	0.060963634	1.940277867
AMPD3	-0.135209944	-0.476045416	1.925643046
ATIC	-0.005202214	-0.306683493	1.925643046
PRIM2	-0.319846552	0.011704371	1.925643046
CPT2	0.0691181	0.11502809	1.925643046
NCAPH2	-0.204263892	0.131413967	1.925643046
RRP1B	0.110051002	0.385106446	1.925643046
MKNK1	-0.093687173	-0.394308419	1.924162429
CCT2	-0.060316314	-0.200439712	1.924162429
CTSC	-0.294608587	-0.14368426	1.924162429
PCBP1	0.059422879	-0.083905207	1.924162429
GLUD1	0.047153379	0.147259636	1.924162429
LPCAT4	0.121271785	0.254620112	1.924162429
WDR46	-0.020394892	0.259403486	1.924162429
WDR4	0.324674553	0.315197611	1.924162429
ACAD10	-0.107617766	-0.116536952	1.922655559
IGHMBP2	0.135008739	0.130171834	1.922655559
WIPF3	0.148686347	-0.458875471	1.918752514
SLC37A2	-0.25562548	-0.110478089	1.918752514
KRT4	0.018990229	0.016924687	1.918752514
DLG5	-0.199441138	-0.092695666	1.91732131
IFITM3	-0.320733389	-0.264943536	1.907643196
CHST14	-0.259781584	-0.235390865	1.907643196
POLR2H	-0.291359258	-0.055432181	1.907643196
NDUFB11	-0.272508898	-0.035720617	1.907643196
ARL2	-0.064495674	-0.013731406	1.907643196
RPS16	0.10104176	0.038747405	1.907643196
RPS3A	0.169509502	0.064657759	1.907643196
RPL26	0.248446692	0.100565236	1.907643196
ARL6IP1	-0.096519013	0.174791096	1.907643196
ABHD11	0.135759949	0.177148162	1.907643196
RPL15	0.262503842	0.189075558	1.907643196
TUFM	0.148535241	0.213664095	1.907643196
ZNF687	-0.12284772	0.001259805	1.902498139
SCNN1A	-0.22059321	-0.41860472	1.902241008
DYSF	-0.002447855	-0.065008262	1.894870517
UVRAG	-0.159383284	-0.157973001	1.893779243
ATF6B	-1.924291105	-2.364970385	1.891188071
MTMR4	-1.671737838	-2.131066667	1.891188071
STEAP1	-0.482667051	-0.837672528	1.889180562
RASSF5	-0.152005166	-0.235876651	1.889180562
INO80C	0.01235651	-0.15379067	1.889180562
PRKAB1	-0.059369179	-0.103024836	1.889180562
SSR4	0.068508906	0.157814819	1.889180562
PDCD11	0.042773558	0.393348117	1.873459198
EPB41L1	-0.109328974	-0.341840435	1.868322745
OTUD7B	0.028169651	-0.18796157	1.868322745
RAI1	-0.397971272	-0.34263834	1.862354129
BRPF3	-0.049610049	-0.029103089	1.856147019
HMGXB3	-0.399434544	0.072374338	1.855684562
PHLDB2	-0.15440461	-0.466804007	1.846079912
SEC23B	-0.030085057	-0.526845248	1.842901716
GARS	0.067201628	-0.374037741	1.842901716
KHNYN	-0.184878916	-0.11711216	1.842901716
STK10	0.090272886	-0.042923836	1.842901716
ZNF106	-0.648789924	-0.360353921	1.840730043
ARHGAP32	-0.009307638	-0.254126159	1.83905199
PARP4	-0.520079458	-0.746543775	1.837157967
SIK2	-0.187207794	-0.314534725	1.834928804
GAK	-0.077524883	-0.315671695	1.833015208
SERPINA1	-1.094318026	-1.433784453	1.830114007
PCK2	0.065768353	-0.202245215	1.830114007
LYN	-0.097325923	-0.186951811	1.830114007
RGS19	-0.035634582	0.00732722	1.830114007
FBRS	-0.321697166	0.068156192	1.830114007
NAGA	0.047200536	0.138719233	1.830114007
PINX1	-0.239667147	0.17513125	1.830114007
TMCO6	0.247551156	0.286774525	1.830114007
FBXL12	0.30611808	0.350724338	1.830114007
TADA3	0.034948075	0.562404694	1.830114007
CDH3	-0.4150324	-0.523033972	1.823467642
GSN	-0.159426274	-0.426535494	1.823467642
CORO2A	-0.015855385	0.131479105	1.823467642
HEXA	0.101027159	0.367237809	1.823467642
LMF2	0.018476676	0.377812217	1.823467642
CBX2	0.103462929	0.782772398	1.823467642
EPN3	-0.088685037	0.152875019	1.819201428
UBE4B	-0.02908361	-0.130853802	1.81577804
TRAK1	-0.287513818	0.103339133	1.81577804
NID1	-1.513794126	0.517188604	1.81394183
CDC20	-0.752991855	-0.412849211	1.811140717
ZFYVE19	-0.069669856	-0.368953276	1.810454491
SHMT1	-0.07714522	-0.264928953	1.810454491
EEF1A2	0.182454109	-0.064805407	1.810454491
NECAP1	0.036657816	-0.024588734	1.810454491
HDAC1	-0.033494482	0.109336573	1.810454491
GALNT6	0.088469223	0.224881435	1.810454491
CLP1	-0.091390625	0.285190367	1.810454491
NCLN	0.048455834	0.316541683	1.810454491
POGZ	-0.076778224	0.202224004	1.804874803
RANBP10	-0.012309736	-0.069235138	1.782212617
RAB3GAP2	0.055152908	-0.271734554	1.781394885
DIAPH1	0.032535457	-0.248045314	1.775127918
EML3	0.149545553	-0.15502775	1.775127918
BUB1B	-0.123179024	-0.297394081	1.774536112
TNFRSF21	-1.610790274	-1.633241091	1.771468274
TBC1D2	-0.069281053	-0.199287045	1.771468274
TMEM9	-0.924656602	-1.293021881	1.766134414
NUDT4	-0.178788814	-0.416433268	1.766134414
LRRC20	-0.116516839	-0.267874635	1.766134414
TMED9	-0.105553355	-0.247379161	1.766134414
PPIA	0.08072755	-0.203186527	1.766134414
SZRD1	0.027856918	-0.140482684	1.766134414
DDT	-0.056223214	-0.121186327	1.766134414
MOB2	0.164757109	-0.020203336	1.766134414
RPL19	0.161446722	0.017842543	1.766134414
RPL34	0.270754449	0.018430688	1.766134414
PPP1R16A	-0.018152842	0.025797154	1.766134414
RPS9	0.138981778	0.037638777	1.766134414
RPL28	0.25189056	0.10077291	1.766134414
RPL18	0.250990619	0.139499042	1.766134414
THG1L	0.120345246	0.152228859	1.766134414
CISD3	0.089880573	0.189087792	1.766134414
TOLLIP	0.031816309	0.230592564	1.766134414
FLYWCH2	0.378011738	0.470842746	1.766134414
SCAF11	-0.372682102	-0.361042853	1.761399698
SMYD5	0.084245288	-0.177486201	1.755788625
SURF1	-0.050153991	-0.094432457	1.755788625
RPSA	0.073565058	-0.007099638	1.755788625
FITM2	0.072190294	0.03940302	1.755788625
CKMT1A	0.043945011	0.124131544	1.755788625
PDCD7	0.091392305	0.282970445	1.755788625
TMEM231	-0.057717623	0.364023833	1.755788625
PTAFR	0.289883942	0.435829374	1.755788625
CLN8	0.047106931	0.504115482	1.755788625
KIAA1522	-0.018868605	-0.0099924	1.752392197
ARFGEF3	-0.201685054	-0.72670589	1.750149738
ZER1	-0.835975573	-0.6865923	1.742890757
NFKB1	-0.085640709	-0.395437886	1.742890757
DCAF11	-0.392497534	-0.246885714	1.742890757
DPP3	-0.024589373	-0.226891263	1.742890757
FBXL4	0.017932509	-0.078145627	1.742890757
TNS4	-0.302946963	-0.527505463	1.739292088
FOXM1	-0.371225481	-0.348622649	1.739292088
LUZP1	-0.033375108	-0.225589757	1.735507599
MED24	-0.044598645	0.233978612	1.733715543
PPIP5K1	0.050366549	-0.36110043	1.719520318
NDUFS1	-0.115124383	0.111192238	1.71816793
ZNF532	-0.066170706	0.085414725	1.715604718
TBC1D17	-0.040169618	-0.458140483	1.70904629
ITGB3	-0.324708086	0.007180247	1.70904629
FMN1	-0.125390803	-0.337446272	1.706087972
RNF138	-1.383593194	-0.793725626	1.703966706
DNASE2	-0.473012531	-0.62804805	1.703966706
AIMP2	-0.029762563	-0.338015467	1.703966706
LIPA	-0.243245056	-0.215759522	1.703966706
PGK2	-0.12181256	-0.203207018	1.703966706
TNFAIP1	-0.08362778	0.102232641	1.703966706
UBIAD1	0.048042957	0.128749177	1.703966706
CYP4V2	0.164696168	0.300522666	1.703966706
ADIPOR1	-0.088393541	0.508263947	1.703966706
MFSD11	-0.398460209	-0.043026415	1.69975109
TRMT2B	-0.012722956	0.175672044	1.69975109
ISG20L2	-0.043534075	0.237085981	1.69975109
PATZ1	-0.347367733	-0.291748054	1.694422654
CTTNBP2NL	0.136418269	-0.058846501	1.694422654
GMNN	-1.130247357	-0.647015473	1.692073472
GOT1	-0.140880088	-0.531517696	1.692073472
CANT1	-0.077835253	-0.288440885	1.692073472
PRKAB2	0.026833122	-0.13448464	1.692073472
GOPC	-0.061162056	-0.089473287	1.692073472
GNB1	-0.088700445	-0.018759775	1.692073472
SLC35G2	-0.091111669	0.015195281	1.692073472
DDX47	-0.273899539	0.118135073	1.692073472
KRT13	0.055296416	0.143775457	1.692073472
TMEM161A	-0.084081227	0.148599597	1.692073472
UBA3	0.274753356	0.16596076	1.692073472
TRAPPC9	0.054072349	0.058183441	1.691530034
MICAL3	0.007382254	0.016304298	1.681900723
QSOX1	-1.036775193	-1.141651141	1.67367635
TBCCD1	-0.109738132	-0.497876183	1.67367635
RPS6KA5	0.10399779	0.009138078	1.67367635
ANO1	-0.034308053	0.516750346	1.67367635
ADD1	-0.316639664	-0.271232477	1.653941064
EPHA2	0.306604444	0.412255811	1.653941064
PARP1	-0.047860757	0.220352911	1.652183096
SMC6	-0.028304714	0.167340256	1.648573745
SPAG5	-0.510111174	-0.679567736	1.646447073
PLEKHM1	0.118060979	0.679243375	1.646447073
CAD	0.045134884	-0.3727746	1.641356326
SPTAN1	0.025003611	-0.016914222	1.641356326
RRM1	-0.34143239	-0.597341797	1.640060934
RRP9	-0.056931981	0.093545765	1.640060934
DDX1	0.122302711	0.108465874	1.640060934
TXNDC9	-0.346493225	-0.362996973	1.613479673
YWHAG	0.046772352	-0.251038024	1.613479673
WBP2	-0.402110319	-0.222901962	1.613479673
NAA40	-0.379886075	-0.220357773	1.613479673
CTSZ	-0.291743889	-0.175628168	1.613479673
TRUB2	-0.329428868	-0.114296669	1.613479673
RNF114	-0.247462591	-0.101258233	1.613479673
DNAJA1	0.013054528	0.000142789	1.613479673
AHCY	0.163314081	0.045935457	1.613479673
B4GALT4	-0.085205198	0.052838254	1.613479673
TMEM120A	-0.015780599	0.106394497	1.613479673
HLA-DRB1	-0.032289428	0.124021523	1.613479673
EIF4H	0.229027888	0.126940195	1.613479673
RPS6	0.194698041	0.130890015	1.613479673
AGK	0.015099919	0.165999291	1.613479673
TECR	-0.080252347	0.176999253	1.613479673
CCDC134	0.019147154	0.203105513	1.613479673
PQLC1	-0.097032084	0.268558163	1.613479673
C6orf141	0.425006452	0.421375363	1.613479673
DUS1L	0.335768543	0.4629573	1.613479673
RSAD2	1.573508069	1.380387285	1.613479673
DDX23	0.018105482	0.239638794	1.613452354
TMCC2	0.281583629	0.366467558	1.613452354
ITM2B	-1.286501683	-1.016016957	1.612252764
FTL	-0.344705562	-0.613222077	1.612252764
CHCHD2	-1.353873469	-0.497289164	1.612252764
MIF	0.026972832	-0.309387474	1.612252764
UBL3	-0.181896094	-0.194409351	1.612252764
MIF4GD	-0.093151365	-0.104308679	1.612252764
PDCD10	0.050270297	-0.082181724	1.612252764
STUB1	0.007808502	-0.065931201	1.612252764
PPA1	0.212868595	-0.049164874	1.612252764
CRIP2	0.011590853	-0.048982501	1.612252764
NTMT1	0.117695432	0.012920255	1.612252764
RPL37A	0.170749315	0.04738029	1.612252764
TAGLN	0.296970983	0.069111207	1.612252764
NPC2	-0.097279661	0.071977501	1.612252764
RPS15	0.149971521	0.074145302	1.612252764
NHP2	0.15784458	0.078524345	1.612252764
PIN4	-0.100871213	0.083269958	1.612252764
MRPS15	-0.051648008	0.136473509	1.612252764
MGST3	0.060837878	0.139397788	1.612252764
TP53I11	-0.163080559	0.181530192	1.612252764
NDUFV2	0.021091514	0.209059894	1.612252764
TMEM97	0.004022142	0.246755052	1.612252764
CCDC167	0.093205879	0.279540274	1.612252764
TIMM10	0.081832489	0.289904152	1.612252764
BTF3	0.272127093	0.36590196	1.612252764
MORF4L1	-0.145266974	0.831795534	1.612252764
UBE2S	0.044914807	1.219071373	1.612252764
LNX2	-0.167919404	-0.274893134	1.609493958
ABHD16A	-0.10449827	-0.063764495	1.609493958
SLC6A6	-0.403917784	-0.047620976	1.609493958
KCNK5	-0.2120029	0.015534325	1.609493958
HSPA8	0.12957236	0.041521291	1.609493958
KLHL42	0.059207646	0.287470651	1.609493958
SDAD1	-0.058613208	0.290925781	1.609493958
GBA2	0.141956612	0.325237646	1.609493958
TEAD4	0.035676216	0.475151764	1.609493958
TANC2	-0.052997526	-0.084301081	1.60878018
DSP	-0.106568681	-0.034566533	1.595777624
SPTB	-0.249800953	-0.145407015	1.594337683
TRIM32	-0.557375116	-0.704037936	1.584230244
MUC1	-0.298983534	-0.331457758	1.584230244
DPYSL3	-0.008265744	-0.219492624	1.584230244
TRIM56	0.011302755	-0.066536035	1.584230244
FUT8	0.033275005	0.082385862	1.584230244
SLC30A7	-0.146603822	0.111498294	1.584230244
CBL	0.020588284	-0.327073115	1.582940465
PACS2	0.223785764	0.146536611	1.582940465
LRP10	-1.164064542	-1.126145717	1.573332121
SH3BP2	-0.124439725	-0.152738923	1.573332121
ZFYVE1	-0.162481341	-0.133271656	1.573332121
ETV6	-0.049441412	-0.127559465	1.573332121
KIFC1	-0.001452849	0.137232444	1.573332121
FAM120C	0.069189252	-0.118964943	1.572431737
CLDN7	-0.420698282	-0.334862071	1.571072044
AIMP1	0.039284964	-0.239833363	1.571072044
ASS1	-0.007781974	-0.19433595	1.571072044
SGMS1	-0.005716394	-0.126214523	1.571072044
MAPK3	0.074330669	-0.097484985	1.571072044
EEF1A1	0.304420952	-0.052368228	1.571072044
PYCR2	-0.169473738	-0.038250528	1.571072044
PTDSS1	-0.215790982	0.030849143	1.571072044
CYP2S1	0.020682006	0.041563719	1.571072044
FXN	0.08468338	0.098249721	1.571072044
PRPF38A	-0.082562947	0.10709468	1.571072044
RBM22	-0.052505083	0.166778919	1.571072044
SUCLG1	0.05298454	0.195676091	1.571072044
HTATIP2	-0.012225886	0.196025817	1.571072044
RSAD1	-0.158744724	0.298123005	1.571072044
CDC123	-0.295703724	0.538353818	1.571072044
PLEK2	0.322465875	0.71491025	1.571072044
BTD	0.433748005	1.113779358	1.571072044
ANKRD11	-0.51173456	-0.11189207	1.57094098
PDIA4	-0.117930353	-0.706030077	1.56849387
MAP2K1	-0.16039803	-0.388561442	1.56849387
PRPSAP1	-0.020825176	-0.358418149	1.56849387
PDIA6	-0.023945506	-0.353497902	1.56849387
SWAP70	-0.009412245	-0.282740492	1.56849387
PPIL2	-0.232392724	-0.280300615	1.56849387
CCDC130	-0.51698463	-0.135869001	1.56849387
PDIA5	0.024147818	-0.044288086	1.56849387
VPS53	0.086793607	-0.000502132	1.56849387
KAT8	-0.106349233	0.020000354	1.56849387
FAM192A	-0.133498845	0.057545545	1.56849387
ACAD8	0.084457948	0.1909436	1.56849387
LAT	0.198699812	0.360698518	1.56849387
FIGNL1	-0.174005185	-0.123177565	1.560847682
SMC2	-0.032191977	-0.019367198	1.560847682
TAOK2	0.095272299	0.159607128	1.560847682
MAPK8IP1	0.120037619	0.206272992	1.560847682
ASNSD1	0.089299372	-0.216805211	1.560484218
SNAP91	-0.036749108	-0.140720908	1.552285187
ATN1	-0.081570015	-0.073145232	1.548609672
ASXL1	-0.105839758	0.145285667	1.548609672
RNF123	-0.110356351	-0.338432283	1.534737982
INTS5	0.013937656	0.183955054	1.534737982
TTF1	-0.052858087	0.224483637	1.534737982
DDR1	-1.115611814	-1.156969667	1.53420789
KLHL22	-0.286429052	-0.258199279	1.53420789
YAP1	-0.037815738	-0.243101279	1.53420789
PROM2	-0.456579873	-0.125169389	1.53420789
MIPEP	-0.146853935	-0.107246262	1.53420789
PRPF19	-0.121614257	0.068251144	1.53420789
HEATR3	0.098120956	0.154692899	1.53420789
SZT2	0.037759177	-0.289611614	1.527649993
ULK1	0.012465074	-0.157197747	1.523868681
RASAL2	0.005817124	-0.093743855	1.522489119
CRTC1	-0.015725646	-0.400034571	1.521093294
KIF16B	-0.094495854	-0.325895766	1.521093294
ATXN1L	0.067163354	0.238186976	1.521093294
FREM2	0.111466509	0.37542011	1.516175758
SLC12A9	-0.080810343	-0.301813962	1.515537695
CMTR2	-0.205679041	-0.049717977	1.515537695
BCL2L13	0.087867605	0.210938314	1.515537695
MCTP2	-0.025701763	-0.723263	1.513470536
TLE1	-0.255754655	-0.430910737	1.513470536
SFMBT1	-0.321463451	-0.212997579	1.513470536
ZC3HC1	0.056742818	0.133081976	1.513470536
DHX9	0.019705574	0.265415075	1.513470536
PPP1R15A	0.358909804	0.439672789	1.513470536
TUT1	-0.357768805	-0.068012315	1.502993669
PLEKHA6	-0.022530189	0.025508425	1.502993669
GRN	-1.899153797	-1.32176739	1.497163949
PROSER2	-0.358360441	-0.591156403	1.497163949
DBR1	0.242407496	0.074470076	1.497163949
RPN1	0.055603221	0.189191313	1.497163949
CPNE7	0.231658035	0.203827692	1.497163949
TMEM135	0.086754224	0.265750522	1.497163949
NELFA	0.05870701	0.296462935	1.497163949
NLE1	0.379559707	0.454636639	1.497163949
WDR90	-0.002114166	-0.075683883	1.488690922
UBE3B	-0.148577589	-0.279726587	1.484987896
IGF1R	-0.033101563	0.106238243	1.473716255
ZNF646	-0.150698999	0.179503043	1.472804271
RABGAP1L	-0.009575532	-0.398259691	1.471413403
IFT172	-0.080195456	-0.2633834	1.471413403
OSBPL10	0.167251379	0.148783977	1.471413403
