geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
PFN3	NA	NA	3.82956	3.07357	-0.384917	0.632707	-0.625149	1.48415
ZBED1	-0.650927315163099	0.320767838998108	-1.55195	-1.36992	NA	0.260738	-0.402757	-1.41631
SMTNL1	NA	NA	4.10242	3.07745	NA	-0.367293	-0.625149	0.484152
DND1	NA	NA	3.88732	3.29629	NA	0.632707	-1.62515	-1.10081
MMP28	-0.603707635782257	0.715550031977207	4.11813	3.20807	NA	1.11813	0.374851	-0.515848
RBAK-RBAKDN	NA	NA	4.0276	3.27072	NA	-0.367293	-0.625149	0.484152
H4C13	0.447978855984778	0.0449717266342508	6.45562	6.36001	NA	-0.367293	-4.66954	1.48415
ENSG00000291314	NA	NA	3.86341	2.50136	NA	-0.367293	-0.0401867	0.484152
ITGAL	NA	NA	3.11911	4.72847	0.0301209	-0.367293	-1.62515	0.484152
MGST1	-0.193313412795528	0.940154390897742	0.0120112	-2.55647	0.456788	0.647618	-0.820664	0.143767
KIF26A	NA	NA	-3.26471	-1.95438	1.20005	0.632707	-0.625149	0.484152
IDI1	0.0281860195984368	0.882064627176634	-0.913425	-1.70043	0.846409	-1.78888	-0.987719	-0.435677
GAL	NA	NA	-0.128951	-1.72963	-1.38492	-0.474208	-2.62515	-1.42274
RPL31	-0.639928805974238	0.0162440118093499	0.152707	-1.58415	0.332553	-0.132273	-0.266987	0.305314
COL5A3	-0.122358787672331	0.850520514869162	2.45085	5.17602	0.615083	0.632707	-2.01177	0.484152
DNAJA1	-0.882664518267243	0.109003904042511	-2.38274	-2.11658	1.47986	0.553761	-0.284764	1.27173
PAPOLA	-0.498386008207757	0.0541423908592118	-1.25827	-1.83414	0.487664	-0.245641	-0.0267662	-0.393857
VSX1	NA	NA	3.04809	4.90922	1.61508	0.632707	0.374851	0.484152
CHRNA4	NA	NA	3.18515	4.78493	-0.384917	0.632707	-0.625149	0.484152
HSPB1	-0.297386736118193	0.00777915585413724	-0.582952	-1.74352	-0.106053	0.158375	-2.03486	-0.13273
SEC61B	-0.166543459367297	0.0349333109248334	-0.0913816	-1.89953	-0.557825	-0.153396	0.87297	0.411018
RASD1	NA	0.955700964648326	2.24821	5.63543	0.511248	0.632707	0.374851	-0.579978
HMGCS1	-0.107397665682778	0.113933641202451	-1.04461	-1.92785	0.882298	-1.49313	-3.07609	-0.270735
