geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
PTP4A1	1.42212893856553	0.616397158700529	1.11335	0.459068	-1.48159	0.51723	0.30085	1.70654
RPS12	-1.23130943973483	3.70446694353429e-08	-1.12549	-0.992899	1.89242	0.734197	0.911396	0.470477
VEGFA	1.80283121250821	0.756786224557259	1.8798	2.63121	-0.561074	0.57208	1.5991	-0.217624
HBEGF	3.57316238347738	1.07414093797203e-07	0.958032	2.66391	1.03012	0.632707	-0.975092	0.0293571
CCNG1	-1.11249012438438	0.00179745293527342	-1.45478	-1.32735	0.329883	-0.776684	-2.22419	-0.685773
TARS1	1.13369882084632	4.44606073278981e-12	0.720617	0.969834	0.053421	0.423418	0.70185	0.864756
IRX4	1.45843953430158	0.9217301630992	2.46786	3.77783	1.20005	0.632707	-1.62515	0.484152
PDE4D	1.04168023317887	6.35861806733096e-08	1.76102	2.37511	-0.969879	1.01122	1.50038	0.354869
NR3C1	1.00528307008848	6.47418769666848e-08	0.771969	0.895761	0.0593855	1.09214	0.931398	0.0331681
STC2	4.18766063657549	7.85982531822509e-59	3.98135	4.91439	0.54958	-0.243918	0.863993	1.14535
SELENOK	1.16282375064362	0.341971807691697	0.942361	0.544643	-0.192272	0.0650222	1.09411	0.830603
CBLB	2.4059420492301	0.0572640452747361	1.74997	2.3734	0.155652	0.381168	1.32736	0.832076
EIF1B	1.22985168268066	3.79588474773366e-12	1.19642	1.34631	-0.306914	-0.152991	1.72752	0.647651
IL1A	1.9767755590568	1.91583702414004e-05	3.16931	3.90811	-0.384917	0.632707	2.37485	-1.10081
DLX2	1.8541429290843	0.49361551839964	0.292837	0.126814	0.200046	0.495203	1.56987	1.06911
SLC1A4	3.3326136263358	0.00176242143121055	1.92232	2.21303	-0.0438797	0.743738	-0.429275	0.611702
NFE2L2	1.60387007301753	1.42486172815792e-16	1.42828	1.86853	0.548412	1.0116	1.18221	0.868493
RPL22	-1.12010736924168	0.0743970726065461	0.484584	-0.750924	0.728146	0.637924	0.782355	-0.0835322
ERRFI1	1.91235423695199	1.42530853677682e-13	1.53461	0.961142	-0.760784	0.1891	0.427703	0.936664
RNF19B	1.24386396124427	0.0145275100780135	-0.842503	1.13407	0.275008	-0.729863	0.820651	0.428657
ARHGEF2	1.10988699828812	9.63148459308325e-07	1.17484	2.01058	-0.520268	-0.359888	1.59191	1.06076
IVNS1ABP	-1.31512538819227	0.000246343799035884	-2.20409	-2.38697	-0.589736	-1.04238	-2.59093	-0.911776
GADD45A	1.60795474414138	1.99762660362493e-05	3.27281	3.80981	-0.855807	1.38273	3.94852	1.4392
CTH	2.89577378445279	0.0304142219695142	3.3611	3.56424	0.0301209	-0.314826	1.60515	0.577262
KIF21B	3.65543674031265	0.0979866090843728	2.18685	2.68499	-1.38492	-0.952256	-1.62515	0.484152
CCN2	2.05435869685074	1.08337159520272e-08	1.88258	3.27487	0.90459	0.632707	-1.86738	-0.783328
CCNI	-1.28166388548793	1.86133679641466e-09	-2.60004	-3.18508	-0.0084427	-0.456022	0.696779	-0.167924
ITGB1BP1	-1.08407195379216	0.00235187651285946	-0.860277	-0.739055	-0.613186	0.235371	-0.380037	0.128008
DUSP1	1.2562849793818	4.1129320650382e-07	1.998	2.58769	0.200046	0.109145	1.20926	1.84311
KIAA1217	1.43681290088903	0.0703924219821143	1.18118	1.78766	-0.402404	-0.0847297	-0.411635	-0.573795
EGR1	1.74488477557457	0.050941951138786	2.03728	5.26686	0.492599	-0.01937	1.6737	-0.281382
B4GALT4	-1.17428795806543	0.67071044806385	0.855425	-1.06652	-0.337088	-1.30018	-1.67047	0.151577
KIF18A	1.03805828581859	0.0549454861292058	0.569013	1.36435	-0.960229	-1.9458	-0.00485364	-0.653351
H1-3	1.18626588620916	5.37660452520508e-11	1.80693	1.97163	-1.7615	-2.01533	-2.31486	1.23751
EREG	1.51093146877599	0.001443344603695	2.43486	3.04481	-0.438356	-0.367293	-2.21011	-0.465807
EIF2S2	1.12261400314194	2.37462318505901e-06	1.74705	2.55549	0.167069	0.670746	1.95981	0.888543
ATF4	3.43363215472346	2.47623949829608e-38	4.00802	4.56114	-1.06299	1.01495	3.12812	0.249687
LIF	2.26163295293142	3.14341344298065e-06	0.86009	2.40598	-2.38492	-0.367293	-0.762653	-0.125901
DNAJB9	1.67143649361881	1.27217577182506e-14	1.00067	2.0648	-0.0324002	1.06231	2.01782	1.62433
CHAC1	7.45828321095053	4.80495114382979e-46	5.37247	5.61822	-0.956823	1.13021	2.41438	1.36868
CLN6	-1.15518296105285	0.103443090913797	0.191681	-0.636522	0.369971	0.290315	-0.908942	-0.730861
AJUBA	1.14572800172827	0.0307094170228802	0.973086	0.873706	-0.192272	0.170526	1.53077	0.306959
SAT1	1.50424716082047	6.36351634381382e-10	1.31262	2.81762	-1.32833	-0.409729	-0.392488	-0.818411
