geneName	HEK293_2h	HMECs_1h	HMECs_24h	MCF10A_2h	M231_1h	SUM159PT_1h	SUM159PT_24h
SULT2B1	NA	-0.247605	1.10938	-0.763256	0.919183	4.15222	-1.08675
ASAP3	0.929588687874558	0.195339	1.04458	0.470541	-0.34952	0.550656	0.0576384
LZTS3	0.754525024103733	0.752395	1.77419	1.40667	-0.604379	1.33391	-0.11846
SLC7A8	0.758318849797144	-0.17194	1.43725	0.821706	-0.250742	2.79858	-1.08675
WHRN	0.80052852151422	0.374833	1.29953	0.236744	-0.223942	0.709578	0.190089
BLNK	NA	0.286732	2.47316	0.236744	-0.250742	6.0716	0.498211
TREM2	NA	-0.163071	1.07918	0.236744	0.749258	-2.69327	-0.534211
PCSK5	0.81373899131421	0.428506	1.05997	0.821706	-0.0381972	0.213621	-0.501789
PALMD	NA	0.055945	1.15907	-0.763256	-0.250742	-3.10831	-3.08675
HSD3B7	NA	0.752395	1.5167	0.0923537	-0.426592	1.41525	0.498211
IZUMO4	NA	-0.0252122	-1.11889	0.236744	-0.250742	1.36562	1.7206
PIK3IP1	NA	1.0378	2.65307	4.15428	-0.513776	-0.798352	0.265848
TTC28	0.896947811964707	1.79679	2.4136	1.23674	0.0279742	-0.0468536	0.122771
SLC5A1	NA	-0.230926	1.0842	0.406669	-0.250742	0.213621	-0.501789
TTLL1	NA	-0.290673	1.32614	0.343659	-0.359266	-0.947843	-0.484915
ABHD4	NA	0.221881	1.01356	1.02101	-0.591779	-0.8465	-0.987216
PCK2	0.882045657556481	-0.218653	1.10031	0.416191	-0.113783	-1.59594	-1.06489
MROH8	NA	0.337358	2.90664	1.40667	0.0541128	-1.32243	-0.35977
SLC32A1	NA	1.92232	7.30977	0.236744	0.164296	-0.430236	1.49821
WFDC2	NA	-0.321605	1.11815	0.236744	0.381526	1.21362	1.49821
MAP1LC3A	NA	0.822785	1.19477	-0.985649	-1.61331	-0.371342	-0.202229
SYNDIG1	NA	-0.148069	-1.56368	0.236744	1.74926	2.21362	0.498211
SMAD7	0.608781772819011	0.448389	1.05925	0.88882	-0.00973369	-0.108308	1.05075
NOL4	0.533452139233145	0.337358	8.05103	0.236744	2.39311	6.3429	-0.501789
RGCC	0.898595997680238	1.47486	2.00921	1.11121	-0.431314	1.21362	1.49821
MSLN	NA	0.167433	1.65872	0.278032	-0.135265	1.21362	0.328286
RHBDL1	NA	0.752395	1.50002	-0.763256	-0.587169	3.45066	0.690856
IQCH	0.777967574119212	-0.399608	1.62219	-0.763256	-0.117475	-0.233838	-0.823717
NOVA2	NA	1.92232	2.11815	0.236744	-0.613312	0.110191	0.47073
SYDE1	0.395906423695844	-0.34652	-1.27338	-0.234877	-0.0356174	1.07276	-0.159869
BBC3	0.682858590201181	-0.314719	1.24368	3.57659	-0.0643287	-0.69327	0.193356
RPS19	0.745840424124876	-0.0425742	-1.04489	-1.51704	0.548213	-0.204722	-0.719649
DBP	0.591567093104116	0.602948	1.57173	1.61526	-0.412205	-0.786379	-0.0278578
CAPS	0.689098352540159	0.873411	1.00921	-0.178294	0.42733	0.628658	-0.671714
RPL18A	0.316330373977403	-0.100763	-1.01936	-1.14573	0.0580109	0.230899	-1.35327
CADM4	0.967246453702288	-0.0549595	1.02129	0.546072	-0.454275	0.581352	0.450905
EVX1	NA	1.33736	4.05103	0.236744	-0.250742	2.53555	-1.50179
STX1A	0.365483744592498	-0.00367901	-1.33182	0.492001	-0.555182	0.666133	-0.579792
HSPB1	0.655440049976103	-0.0499141	1.48672	0.215598	-0.136726	0.518704	-0.698427
AGR2	NA	0.521782	1.5916	1.23674	-0.279888	7.75019	-3.08675
MEGF9	0.255281443080292	0.211827	1.16122	0.520537	-0.250742	-0.0379182	1.04418
ECM2	NA	0.211827	1.35915	0.599314	-0.57267	-2.38515	-0.692473
NPDC1	0.848666396187461	0.219521	1.58248	0.210865	-0.0643287	0.709683	-0.843976
UNC5B	0.821612078361752	0.0497813	1.05846	-0.680794	-0.550302	-0.908891	-0.108522
SORCS1	NA	0.337358	3.24368	0.236744	-0.250742	0.213621	-0.501789
PPIF	0.467812834677969	0.161885	-1.20324	-0.0917849	0.165444	0.128664	-0.554009
RAPGEFL1	0.846885177877883	-0.0673377	1.31456	0.459136	-0.368923	2.31598	-0.0656899
SEPTIN4	NA	0.167433	2.24368	-0.348219	-0.0987387	1.79858	0.235177
ALDH3A1	NA	0.114965	1.9777	1.276	0.0387648	-0.486819	1.0457
KRT32	NA	1.01543	2.31407	0.236744	-0.250742	1.21362	0.498211
DHX58	NA	0.0154298	1.05103	1.0441	0.412223	0.213621	0.0160593
COL1A1	0.761074209613798	0.245435	1.01235	-0.141768	-0.0692216	0.262423	-0.172514
HDAC5	0.8616740415986	-0.516791	1.45727	-0.862792	-0.317856	-0.0379182	0.273894
SMURF2	0.845332591631089	-0.534931	-1.08087	-0.45925	-0.16222	-0.858329	0.367709
EFNB3	NA	0.954029	1.38118	0.973709	-0.835704	1.79858	-0.501789
MAP2K6	0.895221576583767	-1.2476	1.68846	2.23674	-0.250742	3.53555	0.498211
PMP22	0.668430545296676	-0.134711	-1.2757	0.811438	0.0644395	-0.040136	-0.134057
SULT1E1	NA	0.0743235	2.50421	0.558672	0.749258	-1.87384	-2.00429
NKX3-2	0.223161962026741	0.167433	2.62834	0.651781	-0.0580967	0.798583	-1.50179
FAM149A	0.623091050694929	-0.247605	4.49161	0.236744	0.296746	1.53555	-0.501789
CRYAB	NA	-0.247605	2.26921	-0.125826	0.749258	0.102589	-0.398696
ZBTB16	NA	0.489361	3.54949	0.208729	-1.10872	-0.948602	0.0261093
HSPA8	0.323791168133965	0.207083	-1.27455	-2.40188	0.246132	1.55992	-0.0771937
LPXN	NA	-0.0256407	-1.11932	1.01435	0.135675	-0.745737	-0.724181
SLC22A18	NA	0.0280298	1.15225	0.555566	0.260598	-0.234653	-0.389762
CLEC2B	NA	1.92232	2.46607	1.82171	0.164296	3.79858	1.08317
CYP27B1	0.638674369834412	0.145568	-1.16142	-0.270216	0.514793	1.37116	-0.0323037
WNT5B	NA	-0.0585708	-1.23025	0.821706	0.131129	1.21362	-0.501789
SH2B3	0.820254175030432	-0.399608	-1.07825	-2.38775	-0.740793	-0.309941	-0.777423
MGP	NA	-0.132127	1.16122	-0.125826	-0.0987387	4.06526	0.635714
ENO2	0.576158955342257	-0.114338	-1.25109	-1.25802	0.0440543	1.08809	0.235177
RBM24	NA	-1.53711	-2.21575	-1.22269	-0.208097	2.21362	-0.501789
SEMA5A	NA	0.0403762	1.11509	1.23674	-1.15763	0.365624	0.439794
PCDHB3	0.879414973162555	1.33736	3.90664	-0.763256	0.749258	0.950586	-0.501789
NPR3	NA	1.33736	2.4136	0.236744	-0.125211	-0.412565	0.279201
PFKFB4	NA	0.159021	-1.15284	0.605977	-0.171015	0.679284	-0.139219
GNAT1	NA	0.659286	6.79057	0.236744	4.2157	8.76821	1.49821
ROPN1B	NA	1.33736	3.24368	0.236744	0.749258	1.21362	1.49821
CFAP92	NA	0.337358	2.31407	0.236744	-1.8357	2.79858	-0.501789
CISH	NA	-0.595528	1.02129	-1.76326	-0.736169	1.92411	-0.961221
APC2	0.950390259352253	1.65929	3.56561	-1.08518	-0.665779	0.365624	-1.08675
EVA1A	NA	-0.739263	-1.22199	0.0668186	-0.263342	1.21362	1.49821
DNAH6	NA	3.14471	3.4136	1.23674	0.164296	0.213621	-0.331864
CHST10	0.705175858530053	-0.215183	-1.04583	-0.680794	0.214639	3.21362	0.498211
IL1R2	NA	0.576145	-1.31272	0.0992401	0.749258	-0.371342	1.23518
PROC	NA	0.683808	1.63009	2.36057	-0.907854	2.06162	-0.601325
CHD5	NA	2.07432	3.70311	0.236744	-0.665779	-0.660849	0.208704
PADI2	NA	-0.762178	1.14414	0.821706	2.74926	5.60594	0.498211
UAP1	0.364667752557527	0.0109591	-1.4838	-1.40175	0.172261	-0.159082	-0.199114
GBP1	NA	0.0991982	1.07767	-3.39185	-0.0283494	1.09658	0.674368
ID3	0.08335299426178	0.150945	1.69913	-0.659305	-0.173633	-1.14523	-2.18927
F3	0.430841989303736	-0.291421	-1.17182	-2.69003	-0.012832	1.44925	0.474752
MAN1C1	NA	-0.510639	4.34988	-0.325782	-1.16328	-0.923883	-1.37626
POLR1G	0.587889258148102	-0.112675	-1.11889	-1.86829	-0.00304369	0.444152	0.130018
SLC46A2	NA	0.337358	3.24368	0.236744	0.749258	1.21362	0.498211
ALDH6A1	0.881299743001133	0.303411	1.30927	0.806109	-0.0669206	-0.218695	0.268285
CD274	NA	-0.822513	-1.55864	-3.26576	-0.211303	2.06162	-0.238755
PCDHB12	NA	1.33736	2.4136	0.0210149	-0.0960192	1.08809	-0.279397
KCNJ5	NA	-0.0776796	2.94412	0.236744	-0.250742	1.21362	0.498211
DUSP4	0.732630759096182	-0.489805	-1.13018	-1.08328	-0.252284	1.37116	0.257203
CLU	0.787703292230938	0.265973	1.08058	0.946097	-0.151206	0.818059	1.05735
LRAT	NA	-0.101286	-1.06213	-0.0262908	-0.250742	1.21362	0.498211
TNFSF10	NA	0.0154298	1.43271	2.45914	0.749258	4.67305	0.498211
HS3ST2	0.947564872682115	0.269186	-1.07825	0.236744	0.749258	0.213621	-0.501789
PRXL2A	0.356017130672428	-0.167681	1.05884	0.745757	-0.11264	2.59213	-1.82372
P4HA1	0.924328500080292	0.165334	-1.11889	-0.258367	-0.0848683	-0.0259342	0.346563
LRP1	NA	-0.178108	1.02492	-0.239694	-0.386377	-0.358396	0.0233713
IL13RA2	NA	-0.535407	-1.61047	0.236744	0.0122926	1.21362	0.498211
TNFAIP6	NA	1.33736	3.24368	0.629061	-0.250742	0.576191	-0.501789
G0S2	NA	-0.25665	-3.49329	-0.763256	-0.473134	1.21362	1.49821
HMGB1P1	NA	1.92232	3.4136	0.236744	-0.835704	1.21362	1.82014
SLPI	0.764883897454868	0.144151	1.04371	0.419866	-1.32113	-2.24347	-0.0349126
SLC12A5	NA	2.33736	3.70311	0.236744	0.334221	-0.108308	0.176283
ARHGAP40	NA	-0.492717	1.37296	1.23674	-0.313752	6.38355	0.498211
PMEPA1	NA	0.372243	-1.76645	-0.813067	0.0368348	-0.0889422	-1.12628
SLC25A19	0.892190238004367	-0.0776796	-1.56368	0.236744	-0.404365	0.213621	-0.0108027
NKX2-2	0.99343750379405	2.92232	4.15057	0.236744	1.74926	0.628658	0.235177
NRSN2	0.934660070727568	-0.41753	1.24368	1.82171	-0.36351	-0.268248	-0.382207
RRAS	0.283682668493933	0.738856	1.16884	0.0835868	-0.513776	0.560487	0.350312
EDN2	NA	-0.510639	2.20304	-3.94459	-0.0283494	-0.982777	0.020632
TAS2R4	NA	1.33736	3.24368	0.236744	-1.8357	-2.37134	-0.501789
PPAT	0.484369197502695	-0.238571	-1.02662	-0.635706	0.146958	-0.868985	0.0378667
